inventory_id,ui_area,kind,ui_object,object_name,test_id,qualification_level,coverage_status,automation_status,manual_followup_status,rationale,evidence
action:derivative_ledger,accounting_royalties,action,Derivative Ledger…,,UI-PQ-ACC-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:promo_code_ledger,accounting_royalties,action,Promo Code Ledger…,,UI-PQ-ACC-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:promo_code_ledger:222,accounting_royalties,action,Promo Code Ledger,,UI-PQ-ACC-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:qt_dockwidget_closebutton:362,accounting_royalties,button,qt_dockwidget_closebutton,qt_dockwidget_closebutton,UI-PQ-ACC-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
button:qt_dockwidget_floatbutton:361,accounting_royalties,button,qt_dockwidget_floatbutton,qt_dockwidget_floatbutton,UI-PQ-ACC-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
dock:promocodeledgerdock,accounting_royalties,dock,Promo Code Ledger,promoCodeLedgerDock,UI-PQ-ACC-001,Functional Workflow Qualification,covered,automated,,,"evidence.json, business_workflow_manifest.json"
action:deliverables_and_asset_versions,assets_deliverables,action,Deliverables and Asset Versions,,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
action:deliverables_asset_versions,assets_deliverables,action,Deliverables  Asset Versions…,,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
button:qt_dockwidget_closebutton:370,assets_deliverables,button,qt_dockwidget_closebutton,qt_dockwidget_closebutton,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
button:qt_dockwidget_floatbutton:369,assets_deliverables,button,qt_dockwidget_floatbutton,qt_dockwidget_floatbutton,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
dock:assetregistrydock,assets_deliverables,dock,Deliverables and Asset Versions,assetRegistryDock,UI-PQ-MISC-001,UI Inventory Qualification,pending_manual,pending,feature-specific workflow automation pending,,"traceability_matrix.csv, deviations.csv"
action:audio_authenticity_keys,authenticity,action,Audio Authenticity Keys…,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:authenticity_provenance,authenticity,action,Authenticity  Provenance,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:convert_external_audio_files,authenticity,action,Convert External Audio Files…,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:export_authentic_masters,authenticity,action,Export Authentic Masters…,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:export_catalog_audio_copies,authenticity,action,Export Catalog Audio Copies…,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:export_forensic_watermarked_audio,authenticity,action,Export Forensic Watermarked Audio…,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:export_provenance_copies,authenticity,action,Export Provenance Copies…,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:inspect_forensic_watermark,authenticity,action,Inspect Forensic Watermark…,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
action:verify_audio_authenticity,authenticity,action,Verify Audio Authenticity…,,UI-PQ-AUTH-001,Functional Workflow Qualification,pending_manual,pending,synthetic audio fixture automation pending,,"evidence.json, deviations.csv"
